n,x,y,radius
1.590000000000000000e+02,-1.088887695479672790e-01,-1.214703685401630873e+00,1.219574437032022507e+00
1.600000000000000000e+02,-1.696239538180488171e-01,-1.209259246924232478e+00,1.221097953474916453e+00
1.610000000000000000e+02,-2.300869161642604410e-01,-1.200778049233329980e+00,1.222623373124602342e+00
1.620000000000000000e+02,-2.901258186259269567e-01,-1.189273703425116846e+00,1.224150698358603684e+00
1.630000000000000000e+02,-3.495895037971827879e-01,-1.174767412493820551e+00,1.225679931557413838e+00
1.640000000000000000e+02,-4.083278744218737932e-01,-1.157287937303961511e+00,1.227211075104500226e+00
1.650000000000000000e+02,-4.661922712870718577e-01,-1.136871543582867794e+00,1.228744131386307448e+00
1.660000000000000000e+02,-5.230358484662152030e-01,-1.113561930018514223e+00,1.230279102792261492e+00
1.670000000000000000e+02,-5.787139449671409031e-01,-1.087410137595203441e+00,1.231815991714773295e+00
1.680000000000000000e+02,-6.330844518469010973e-01,-1.058474440346846457e+00,1.233354800549242292e+00
1.690000000000000000e+02,-6.860081738642433979e-01,-1.026820217754501385e+00,1.234895531694060189e+00
1.700000000000000000e+02,-7.373491847519684228e-01,-9.925198090612892265e-01,1.236438187550615186e+00
1.710000000000000000e+02,-7.869751752050329063e-01,-9.556523498236908498e-01,1.237982770523295306e+00
1.720000000000000000e+02,-8.347577926962174155e-01,-9.163035910634391712e-01,1.239529283019491945e+00
1.730000000000000000e+02,-8.805729722493893519e-01,-8.745657014286283282e-01,1.241077727449603652e+00
1.740000000000000000e+02,-9.243012573208208016e-01,-8.305370528161588606e-01,1.242628106227040563e+00
1.750000000000000000e+02,-9.658281099616287113e-01,-7.843219899501178149e-01,1.244180421768227518e+00
1.760000000000000000e+02,-1.005044209459134530e+00,-7.360305844520363960e-01,1.245734676492608051e+00
1.770000000000000000e+02,-1.041845738681736355e+00,-6.857783739790797028e-01,1.247290872822648167e+00
1.780000000000000000e+02,-1.076134657380690252e+00,-6.336860870449928518e-01,1.248849013183839451e+00
1.790000000000000000e+02,-1.107818961732939922e+00,-5.798793541759583725e-01,1.250409100004704843e+00
1.800000000000000000e+02,-1.136812929441737730e+00,-5.244884060893113542e-01,1.251971135716799077e+00
1.810000000000000000e+02,-1.163037349746203208e+00,-4.676477596172244899e-01,1.253535122754716236e+00
1.820000000000000000e+02,-1.186419737727064438e+00,-4.094958921299143295e-01,1.255101063556091079e+00
1.830000000000000000e+02,-1.206894532333560255e+00,-3.501749052435610965e-01,1.256668960561603265e+00
1.840000000000000000e+02,-1.224403277595738304e+00,-2.898301786268830949e-01,1.258238816214981348e+00
1.850000000000000000e+02,-1.238894786527082514e+00,-2.286100147470961907e-01,1.259810632963007215e+00
1.860000000000000000e+02,-1.250325287264437257e+00,-1.666652754207420539e-01,1.261384413255518755e+00
1.870000000000000000e+02,-1.258658551035474416e+00,-1.041490110575201827e-01,1.262960159545414740e+00
1.880000000000000000e+02,-1.263866001588350496e+00,-4.121608350574645918e-02,1.264537874288657715e+00
1.890000000000000000e+02,-1.265926805763637919e+00,2.197721657367106285e-02,1.266117559944278437e+00
1.900000000000000000e+02,-1.264827944934954429e+00,8.527355686185296435e-02,1.267699218974379427e+00
1.910000000000000000e+02,-1.260564267091861756e+00,1.485149541086006886e-01,1.269282853844139192e+00
1.920000000000000000e+02,-1.253138519386431726e+00,2.115431674631937931e-01,1.270868467021815551e+00
1.930000000000000000e+02,-1.242561361013271970e+00,2.742000934325153905e-01,1.272456060978749415e+00
1.940000000000000000e+02,-1.228851356341646106e+00,3.363281614831790112e-01,1.274045638189369889e+00
1.950000000000000000e+02,-1.212034948267487255e+00,3.977707293002613054e-01,1.275637201131196274e+00
1.960000000000000000e+02,-1.192146411802474271e+00,4.583724767136356792e-01,1.277230752284843396e+00
1.970000000000000000e+02,-1.169227787966792498e+00,5.179797973037594261e-01,1.278826294134024488e+00
1.980000000000000000e+02,-1.143328798101604482e+00,5.764411867020990954e-01,1.280423829165555416e+00
1.990000000000000000e+02,-1.114506738766499527e+00,6.336076266071792862e-01,1.282023359869359558e+00
2.000000000000000000e+02,-1.082826357436140530e+00,6.893329635455042181e-01,1.283624888738469361e+00
2.010000000000000000e+02,-1.048359709258865236e+00,7.434742814173112002e-01,1.285228418269032558e+00
2.020000000000000000e+02,-1.011185995187999787e+00,7.958922668802544953e-01,1.286833950960315498e+00
2.030000000000000000e+02,-9.713913818439871006e-01,8.464515666396544846e-01,1.288441489314705368e+00
2.040000000000000000e+02,-9.290688035120043820e-01,8.950211357318538230e-01,1.290051035837716409e+00
2.050000000000000000e+02,-8.843177467254117463e-01,9.414745759074540921e-01,1.291662593037992357e+00
2.060000000000000000e+02,-8.372440179300389973e-01,9.856904632437246683e-01,1.293276163427310665e+00
2.070000000000000000e+02,-7.879594947678527639e-01,1.027552664140226613e+00,1.294891749520587387e+00
2.080000000000000000e+02,-7.365818615608414888e-01,1.066950638878619184e+00,1.296509353835878953e+00
2.090000000000000000e+02,-6.832343296169105518e-01,1.103779731956661347e+00,1.298128978894388830e+00
2.100000000000000000e+02,-6.280453430190774400e-01,1.137941448437506775e+00,1.299750627220468635e+00
2.110000000000000000e+02,-5.711482705972020790e-01,1.169343715588460730e+00,1.301374301341624573e+00
2.120000000000000000e+02,-5.126810848177790758e-01,1.197901129118320807e+00,1.303000003788519878e+00
2.130000000000000000e+02,-4.527860283618630466e-01,1.223535183359209855e+00,1.304627737094978812e+00
2.140000000000000000e+02,-3.916092691939025427e-01,1.246174484777303082e+00,1.306257503797991326e+00
2.150000000000000000e+02,-3.293005449550373553e-01,1.265754948236998301e+00,1.307889306437716392e+00
2.160000000000000000e+02,-2.660127975431874070e-01,1.282219975484750085e+00,1.309523147557486222e+00
2.170000000000000000e+02,-2.019017987689498972e-01,1.295520615361909433e+00,1.311159029703810708e+00
2.180000000000000000e+02,-1.371257680008544089e-01,1.305615705300356977e+00,1.312796955426380086e+00
2.190000000000000000e+02,-7.184498273583656003e-02,1.312471993700399686e+00,1.314436927278070266e+00
2.200000000000000000e+02,-6.221383050816570170e-03,1.316064242837191589e+00,1.316078947814945943e+00
2.210000000000000000e+02,5.958182909104300928e-02,1.316375311989732344e+00,1.317723019596265255e+00
2.220000000000000000e+02,1.254005946905296098e-01,1.313396220535180126e+00,1.319369145184483116e+00
2.230000000000000000e+02,1.910704057172886161e-01,1.307126190800653731e+00,1.321017327145256104e+00
2.240000000000000000e+02,2.564267152573213027e-01,1.297572670514789195e+00,1.322667568047444453e+00
2.250000000000000000e+02,3.213053487830607735e-01,1.284751334751923046e+00,1.324319870463118942e+00
2.260000000000000000e+02,3.855429155206569480e-01,1.268686067312770005e+00,1.325974236967562891e+00
2.270000000000000000e+02,4.489772188862954372e-01,1.249408921536737216e+00,1.327630670139276825e+00
2.280000000000000000e+02,5.114476649631323202e-01,1.226960060592422463e+00,1.329289172559982024e+00
2.290000000000000000e+02,5.727956679927534989e-01,1.201387677344265770e+00,1.330949746814624968e+00
2.300000000000000000e+02,6.328650518599667762e-01,1.172747893944628084e+00,1.332612395491381774e+00
2.310000000000000000e+02,6.915024465571981693e-01,1.141104641351629700e+00,1.334277121181661530e+00
2.320000000000000000e+02,7.485576786247796210e-01,1.106529519023769836e+00,1.335943926480110289e+00
2.330000000000000000e+02,8.038841545759680685e-01,1.069101635092530866e+00,1.337612813984615512e+00
2.340000000000000000e+02,8.573392363305946118e-01,1.028907427363732419e+00,1.339283786296310508e+00
2.350000000000000000e+02,9.087846076987812216e-01,9.860404655472027047e-01,1.340956846019577098e+00
2.360000000000000000e+02,9.580866309761413291e-01,9.406012351622636825e-01,1.342631995762051167e+00
2.370000000000000000e+02,1.005116692734254524e+00,8.926969036134566604e-01,1.344309238134626217e+00
2.380000000000000000e+02,1.049751537914927368e+00,8.424410689767439786e-01,1.345988575751456473e+00
2.390000000000000000e+02,1.091873591363764495e+00,7.899534920809976324e-01,1.347670011229962661e+00
2.400000000000000000e+02,1.131371265967814344e+00,7.353598125128093521e-01,1.349353547190835112e+00
2.410000000000000000e+02,1.168139256593454745e+00,6.787912492144185794e-01,1.351039186258037539e+00
2.420000000000000000e+02,1.202078819054175574e+00,6.203842863847458533e-01,1.352726931058811921e+00
2.430000000000000000e+02,1.233098033373412949e+00,5.602803454320370857e-01,1.354416784223682502e+00
2.440000000000000000e+02,1.261112050645014859e+00,4.986254437633664272e-01,1.356108748386459117e+00
2.450000000000000000e+02,1.286043322833183122e+00,4.355698412311156953e-01,1.357802826184241640e+00
2.460000000000000000e+02,1.307821814894738921e+00,3.712676750894565170e-01,1.359499020257425306e+00
2.470000000000000000e+02,1.326385198649211672e+00,3.058765843447195376e-01,1.361197333249702268e+00
2.480000000000000000e+02,1.341679027866447660e+00,2.395573244122589651e-01,1.362897767808068705e+00
2.490000000000000000e+02,1.353656894087060580e+00,1.724733730189365599e-01,1.364600326582826595e+00
2.500000000000000000e+02,1.362280562738007461e+00,1.047905283145835337e-01,1.366305012227588822e+00
2.510000000000000000e+02,1.367520089153736684e+00,3.667650017768316062e-02,1.368011827399283842e+00
2.520000000000000000e+02,1.369353914162620756e+00,-3.169950428000367637e-02,1.369720774758157900e+00
2.530000000000000000e+02,1.367768938948620505e+00,-1.001671999881347114e-01,1.371431856967781693e+00
2.540000000000000000e+02,1.362760578949213874e+00,-1.685556469355657394e-01,1.373145076695053257e+00
2.550000000000000000e+02,1.354332796602435662e+00,-2.366936758830264220e-01,1.374860436610201297e+00
2.560000000000000000e+02,1.342498112808284239e+00,-3.044103157131481940e-01,1.376577939386790739e+00
