n,x,y,radius
1.050000000000000000e+02,4.910821951947127451e-01,8.589226946834943588e-01,9.893987658571306021e-01
1.060000000000000000e+02,5.340283299288874908e-01,8.322212781870499398e-01,9.888268367282129212e-01
1.070000000000000000e+02,5.756393938382400322e-01,8.034393084951378938e-01,9.883700896797726898e-01
1.080000000000000000e+02,6.158113592629969046e-01,7.726487405319880652e-01,9.880332516889334116e-01
1.090000000000000000e+02,6.544437962895963690e-01,7.399265507175082357e-01,9.878198130016667688e-01
1.100000000000000000e+02,6.914401238254718196e-01,7.053545445262346947e-01,9.877319870894106790e-01
1.110000000000000000e+02,7.267078510517835932e-01,6.690191519736454762e-01,9.877706851733538684e-01
1.120000000000000000e+02,7.601588086504658115e-01,6.310112115411221634e-01,9.879355057186123279e-01
1.130000000000000000e+02,7.917093692275218864e-01,5.914257430797460469e-01,9.882247390649914198e-01
1.140000000000000000e+02,8.212806563815091554e-01,5.503617102606706002e-01,9.886353871207993471e-01
1.150000000000000000e+02,8.487987418945426299e-01,5.079217731659434465e-01,9.891631978080233090e-01
1.160000000000000000e+02,8.741948305528397523e-01,4.642120316383014367e-01,9.898027137177729529e-01
1.170000000000000000e+02,8.974054321347548768e-01,4.193417600315637039e-01,9.905473342204983433e-01
1.180000000000000000e+02,9.183725201363330815e-01,3.734231340247470277e-01,9.913893900816287408e-01
1.190000000000000000e+02,9.370436768375703940e-01,3.265709501828685246e-01,9.923202294645688815e-01
1.200000000000000000e+02,9.533722243467138702e-01,2.789023389655328478e-01,9.933303140628729766e-01
1.210000000000000000e+02,9.673173412949904737e-01,2.305364719007833296e-01,9.944093239941336204e-01
1.220000000000000000e+02,9.788441648900296777e-01,1.815942636562818402e-01,9.955462700106543217e-01
1.230000000000000000e+02,9.879238780728437641e-01,1.321980697526396464e-01,9.967296115360528841e-01
1.240000000000000000e+02,9.945337815604757825e-01,8.247138067461584621e-02,9.979473790212375350e-01
1.250000000000000000e+02,9.986573505942065720e-01,3.253851314490551622e-02,9.991872991254048264e-01
1.260000000000000000e+02,1.000284276251451887e+00,-1.747570066766707814e-02,1.000436921264762580e+00
1.270000000000000000e+02,9.994104912180685751e-01,-6.744622522857050828e-02,1.001683744130014375e+00
1.280000000000000000e+02,9.960381799566400129e-01,-1.172481342264025117e-01,1.002915340849320325e+00
1.290000000000000000e+02,9.901757732453199123e-01,-1.667569228886685018e-01,1.004119481562460559e+00
1.300000000000000000e+02,9.818379271008864650e-01,-2.158488192437128250e-01,1.005284252270307155e+00
